AlbumName,SongName,Counts
Kill 'Em All,Hit The Lights ,221
Kill 'Em All,The Four Horsemen ,551
Kill 'Em All,Motorbreath ,314
Kill 'Em All,Jump In The Fire ,91
Kill 'Em All,(Anesthesia) Pulling Teeth ,125
Kill 'Em All,Whiplash ,896
Kill 'Em All,Phantom Lord ,158
Kill 'Em All,No Remorse ,232
Kill 'Em All,Seek And Destroy ,1578
Kill 'Em All,Metal Militia ,87
Ride The Lightning,Fight Fire With Fire ,337
Ride The Lightning,Ride The Lightning ,368
Ride The Lightning,For Whom The Bell Tolls ,1498
Ride The Lightning,Fade To Black ,1182
Ride The Lightning,Trapped Under Ice ,21
Ride The Lightning,Escape ,1
Ride The Lightning,Creeping Death ,1531
Ride The Lightning,The Call of Ktulu ,83
Master of Puppets,Battery ,947
Master of Puppets,Master Of Puppets ,1679
Master of Puppets,The Thing That Should Not Be ,267
Master of Puppets,Welcome Home (Sanitarium) ,994
Master of Puppets,Disposable Heroes ,158
Master of Puppets,Leper Messiah ,118
Master of Puppets,Orion ,68
Master of Puppets,"Damage, Inc. ",294
Garage Days Re-revisited,Helpless ,64
Garage Days Re-revisited,The Small Hours ,7
Garage Days Re-revisited,The Wait ,25
Garage Days Re-revisited,Crash Course in Brain Surgery ,1
Garage Days Re-revisited,Last Caress/Green Hell ,804
...And Justice For All,Blackened ,495
...And Justice For All,...And Justice For All ,257
...And Justice For All,Eye Of The Beholder ,125
...And Justice For All,One ,1504
...And Justice For All,The Shortest Straw ,98
...And Justice For All,Harvester Of Sorrow ,782
...And Justice For All,The Frayed Ends Of Sanity ,12
...And Justice For All,To Live Is To Die ,1
...And Justice For All,Dyers Eve ,35
Metallica,Enter Sandman ,1348
Metallica,Sad But True ,1330
Metallica,Holier Than Thou ,87
Metallica,The Unforgiven ,494
Metallica,Wherever I May Roam ,800
Metallica,Don't Tread On Me ,17
Metallica,Through The Never ,233
Metallica,Nothing Else Matters ,1226
Metallica,Of Wolf And Man ,254
Metallica,The God That Failed ,101
Metallica,My Friend Of Misery ,18
Metallica,The Struggle Within ,17
Load,Ain't My Bitch ,174
Load,2 X 4 ,10
Load,"The House Jack Built
",0
Load,Until It Sleeps ,242
Load,King Nothing ,357
Load,Hero Of The Day ,72
Load,Bleeding Me ,161
Load,"Cure
",0
Load,Poor Twisted Me ,4
Load,Wasting My Hate ,101
Load,Mama Said ,1
